city,country,quality_of_life_index,safety_index,healthcare_index,climate_index,purchasing_power_index,cost_of_living_index,traffic_commute_index,pollution_index,green_space_index,walkability_index,accessibility_index,comfort_index,latitude,longitude,public_space_quality
Bangkok,Thailand,38.61,75.75,70.26,46.68,44.21,40.84,68.95,50.49,37.15,59.58,36.75,64.5,52.62507,114.08144,Poor
Kuala Lumpur,Malaysia,50.73,82.35,42.39,38.46,54.81,82.61,52.41,75.17,86.19,33.29,38.03,68.34,52.14285,-22.78093,Moderate
Zurich,Switzerland,37.6,64.91,74.82,55.55,47.94,117.24,22.88,84.89,21.51,25.95,36.57,43.04,36.79223,81.46261,Poor
Karachi,Pakistan,49.24,40.22,92.33,51.21,45.42,64.01,33.58,51.08,76.45,46.23,69.63,48.68,44.67373,67.06916,Moderate
Chicago,USA,58.54,67.23,73.09,92.99,65.36,35.58,27.11,86.02,55.53,73.86,42.77,40.52,53.99005,-109.22556,Moderate
Paris,France,55.36,70.21,85.06,68.46,111.24,60.54,69.53,52.86,53.51,80.32,46.34,46.2,48.7721,29.0997,Moderate
Zurich,Switzerland,43.13,79.73,88.63,55.84,73.17,75.53,60.62,41.54,20.53,45.7,41.28,44.62,24.7619,-90.49982,Moderate
Kuala Lumpur,Malaysia,53.28,60.9,52.54,69.83,42.85,44.57,55.58,77.86,81.45,59.7,92.26,63.76,36.1214,131.33958,Moderate
Vienna,Austria,41.54,42.65,51.66,43.35,32.31,89.23,33.06,49.44,46.99,54.48,85.55,66.57,29.20113,90.02299,Moderate
Chicago,USA,51.15,52.03,73.6,61.64,91.13,119.8,26.04,47.75,60.56,53.74,44.98,91.42,32.387,-95.92319,Moderate
Bangkok,Thailand,50.02,56.78,62.61,72.57,61.37,70.66,60.39,49.22,70.8,41.19,51.29,42.71,56.59762,-92.73572,Moderate
Chicago,USA,54.48,73.76,86.19,64.33,103.07,61.93,43.45,77.74,72.7,34.55,43.64,71.71,25.32816,32.53557,Moderate
Sydney,Australia,62.53,69.25,89.5,59.11,87.65,66.06,28.55,76.56,91.7,38.77,61.97,83.12,31.91283,-33.60437,Good
Vancouver,Canada,53.45,56.37,59.44,94.63,100.64,40.36,52.0,42.28,59.85,28.87,31.27,66.42,35.1445,-115.74995,Moderate
Dubai,UAE,55.39,94.19,53.03,87.82,50.83,109.49,17.42,36.66,49.98,38.87,73.64,46.58,46.20783,18.535,Moderate
Seoul,South Korea,53.99,71.35,82.93,72.4,90.77,67.33,34.57,49.35,91.53,25.64,64.01,47.07,43.22766,-22.22105,Moderate
Seoul,South Korea,44.21,49.23,55.11,69.16,50.09,64.85,43.11,55.82,68.16,68.91,88.41,32.55,31.8577,-98.21473,Moderate
Istanbul,Turkey,49.68,41.11,85.24,72.24,114.21,89.37,23.88,29.07,42.36,47.15,40.69,49.85,29.91268,87.5089,Moderate
Chicago,USA,46.54,44.17,63.31,47.08,85.46,69.78,74.08,73.52,29.48,93.12,82.27,78.4,32.52473,117.49534,Moderate
Lahore,Pakistan,50.29,49.76,76.72,58.71,55.83,88.34,27.55,48.92,83.19,38.56,81.48,33.09,42.09107,75.49739,Moderate
Doha,Qatar,37.95,44.64,45.25,37.37,50.6,35.53,22.82,36.72,47.16,49.21,38.27,44.25,33.7624,92.94191,Poor
Copenhagen,Denmark,61.91,46.19,74.31,63.53,43.14,103.24,27.21,18.55,69.54,50.05,55.91,75.91,58.11369,-67.63,Good
Berlin,Germany,39.55,52.11,64.85,67.58,90.99,114.65,61.14,29.11,55.31,25.59,41.06,80.87,40.69915,-55.15317,Poor
Istanbul,Turkey,31.3,45.4,72.26,48.66,45.78,88.39,40.53,85.94,34.92,83.74,46.56,59.6,26.11666,-69.7402,Poor
London,UK,54.95,88.81,49.24,92.84,81.55,115.91,48.92,34.41,65.13,27.24,47.11,75.37,50.25359,77.74181,Moderate
Kuala Lumpur,Malaysia,53.16,39.81,80.53,89.57,50.14,43.63,16.26,23.51,24.55,90.81,66.16,55.22,35.83843,126.19803,Moderate
Toronto,Canada,61.04,66.47,87.45,78.33,87.89,72.97,17.07,46.85,51.0,87.45,56.74,40.39,47.5256,64.96186,Good
London,UK,59.53,59.62,51.92,67.0,102.42,84.16,41.75,34.57,61.0,62.49,91.6,55.88,34.0654,108.58869,Moderate
Melbourne,Australia,63.67,93.94,45.26,87.2,98.91,82.36,64.0,12.81,52.7,63.05,38.21,67.7,44.54677,44.25526,Good
Amsterdam,Netherlands,49.95,41.72,41.3,42.84,97.28,66.13,68.11,35.85,76.15,70.76,93.29,91.62,51.79749,-22.27013,Moderate
Tokyo,Japan,49.17,58.87,75.31,82.43,42.83,60.43,20.2,53.53,82.09,52.09,44.99,34.47,57.40831,-12.17317,Moderate
Melbourne,Australia,62.06,93.17,73.39,42.49,33.4,41.41,47.3,54.14,77.84,70.31,80.24,62.98,33.40058,-105.03982,Good
Toronto,Canada,50.35,86.93,70.07,82.65,91.4,65.26,69.79,38.52,22.91,28.13,52.03,51.38,36.05485,-116.66384,Moderate
Kuala Lumpur,Malaysia,51.72,84.02,52.76,51.55,59.99,44.64,38.28,45.78,34.56,28.78,39.3,63.04,40.71359,59.30104,Moderate
Zurich,Switzerland,48.3,50.47,61.5,87.63,66.07,96.09,64.77,87.24,60.25,57.01,85.76,31.56,57.37829,-8.81634,Moderate
Doha,Qatar,54.81,45.25,72.7,91.64,27.96,48.79,23.02,40.19,90.11,63.47,50.08,50.35,56.44993,21.33699,Moderate
Seoul,South Korea,59.44,75.12,67.32,43.93,49.66,35.27,71.12,30.66,82.62,87.15,72.83,83.29,27.23562,22.78023,Moderate
London,UK,56.04,90.76,94.33,62.76,28.2,79.71,60.09,29.48,83.19,32.33,66.82,66.01,28.74947,-51.49541,Moderate
Chicago,USA,52.31,68.41,47.5,93.86,108.52,83.57,71.48,46.62,42.74,82.59,60.66,59.29,41.83833,1.11152,Moderate
Barcelona,Spain,45.66,69.3,78.23,64.0,48.12,108.47,55.6,70.76,52.21,39.7,62.23,48.56,27.83829,-0.24854,Moderate
Seoul,South Korea,54.7,51.8,62.24,86.81,77.95,81.93,36.8,26.48,55.3,52.59,77.6,49.37,36.44091,-22.06679,Moderate
Copenhagen,Denmark,33.63,81.17,63.55,70.32,28.7,61.09,71.29,66.74,31.8,47.16,35.71,54.9,29.34187,92.47898,Poor
Tokyo,Japan,49.7,46.22,79.47,57.52,88.35,102.27,31.53,11.69,22.33,53.01,73.43,84.31,46.89745,-5.44154,Moderate
Sydney,Australia,61.82,54.42,78.08,52.15,55.69,78.63,34.93,43.51,91.02,35.53,88.23,92.87,58.18184,34.9658,Good
Amsterdam,Netherlands,48.93,60.53,94.52,47.19,110.3,37.14,57.05,72.07,38.05,60.25,33.76,58.51,59.88242,112.31283,Moderate
Melbourne,Australia,53.0,65.46,47.06,80.71,109.37,80.93,60.92,37.1,38.0,81.11,39.14,55.57,37.50868,104.55191,Moderate
Barcelona,Spain,41.02,49.54,45.73,58.19,55.9,111.72,70.76,55.1,26.25,55.91,76.58,85.03,45.56445,110.96188,Moderate
Amsterdam,Netherlands,67.3,41.89,79.84,65.68,110.59,65.67,27.29,26.4,89.64,59.34,58.42,57.75,54.82564,-53.44868,Good
Zurich,Switzerland,60.19,71.64,71.81,64.54,119.63,56.67,62.88,69.36,63.48,84.41,56.23,65.88,28.22863,-115.72964,Good
Paris,France,53.23,52.32,55.08,69.64,103.41,42.91,59.31,14.18,70.03,74.42,38.9,45.01,48.82432,-55.8173,Moderate
Bangkok,Thailand,58.3,69.87,44.37,86.93,105.26,43.63,18.83,78.2,88.37,59.33,62.94,78.33,38.71837,-51.14255,Moderate
Vancouver,Canada,44.01,44.26,44.71,93.84,48.66,68.95,38.23,25.86,45.92,43.04,38.23,64.58,31.42126,115.98049,Moderate
Amsterdam,Netherlands,49.59,63.87,89.18,59.46,79.79,83.61,31.97,79.95,66.61,86.94,60.98,82.59,38.49913,47.04932,Moderate
Bangkok,Thailand,51.17,66.96,50.55,84.65,31.39,37.26,33.27,38.2,22.91,65.39,79.63,80.75,26.73457,-103.34845,Moderate
Melbourne,Australia,28.36,38.11,57.79,80.87,34.02,114.56,73.98,67.81,34.01,40.48,46.79,43.98,49.03466,-89.12467,Poor
Chicago,USA,50.4,55.2,52.47,69.41,119.89,97.96,53.57,35.54,82.34,43.84,61.25,76.52,33.09874,-83.74583,Moderate
Zurich,Switzerland,52.59,43.06,59.52,92.36,56.03,82.8,58.06,82.47,77.51,81.22,94.48,82.0,35.2106,42.06176,Moderate
Vancouver,Canada,42.07,38.8,43.82,47.03,96.08,104.56,73.6,20.13,46.3,28.09,74.63,52.5,28.35893,69.88472,Moderate
Amsterdam,Netherlands,67.1,94.4,68.55,41.56,101.63,37.22,37.63,24.28,48.26,94.45,84.69,41.22,55.12773,102.80564,Good
Tokyo,Japan,44.53,54.34,43.72,86.24,106.51,72.92,63.11,49.44,60.02,34.12,56.97,30.17,41.76399,124.26869,Moderate
Dubai,UAE,64.1,83.59,84.02,61.35,119.77,86.71,41.07,16.56,20.02,80.72,79.91,59.31,44.59729,-71.54829,Good
Seoul,South Korea,39.4,50.28,52.85,85.82,47.94,104.58,67.17,25.68,38.09,52.63,32.63,52.91,44.49958,-42.91029,Poor
Barcelona,Spain,48.97,75.89,69.7,88.59,28.83,100.51,25.84,85.5,35.62,59.46,37.99,66.07,38.77775,-61.31444,Moderate
Tokyo,Japan,46.32,80.61,88.4,38.75,64.06,54.94,71.86,88.12,38.79,86.65,43.2,42.22,30.93108,-29.92818,Moderate
Lahore,Pakistan,52.96,70.74,75.8,88.01,37.36,114.68,28.13,40.1,80.44,53.9,56.13,85.88,50.82478,117.38625,Moderate
Barcelona,Spain,52.33,63.29,69.31,61.9,27.13,41.19,34.57,83.86,40.98,62.62,84.97,46.75,28.57403,27.40483,Moderate
Kuala Lumpur,Malaysia,36.79,59.71,57.84,65.63,59.24,108.76,60.37,53.59,34.36,28.45,52.51,44.72,27.73946,70.62085,Poor
Dubai,UAE,46.97,55.93,58.32,72.6,99.46,117.38,38.63,31.58,57.82,25.16,72.55,61.25,49.56522,4.8816,Moderate
Singapore,Singapore,58.71,90.77,76.82,90.58,78.79,45.94,51.49,66.19,84.92,42.14,76.11,62.43,31.51813,-117.35265,Moderate
Melbourne,Australia,52.06,84.84,94.68,36.15,54.71,94.99,41.67,62.71,38.1,72.64,68.1,43.98,35.04382,-107.9882,Moderate
Seoul,South Korea,44.31,92.9,76.4,63.61,87.16,33.63,59.54,89.13,25.89,33.49,53.22,47.67,41.10819,17.5496,Moderate
Kuala Lumpur,Malaysia,50.32,42.46,70.68,76.26,47.04,66.49,28.7,31.2,46.73,32.96,67.51,41.03,40.17665,65.47909,Moderate
Karachi,Pakistan,55.29,78.85,80.19,78.36,26.37,76.47,18.51,63.76,76.07,53.77,52.25,76.7,49.50885,-67.93741,Moderate
Singapore,Singapore,61.32,91.3,65.59,76.55,97.61,82.26,33.0,14.16,61.3,70.35,35.45,80.06,46.44354,66.30604,Good
Toronto,Canada,59.39,45.87,43.31,43.07,84.26,114.23,43.46,19.09,81.26,74.85,94.53,60.05,47.19826,89.82643,Moderate
Seoul,South Korea,58.11,38.99,70.93,52.96,97.42,90.5,25.08,10.31,91.97,37.49,38.27,76.42,49.70596,-15.84717,Moderate
Singapore,Singapore,48.52,79.47,92.67,56.52,28.7,73.32,36.29,89.96,79.45,30.57,34.7,77.84,34.53406,72.8011,Moderate
Vienna,Austria,61.11,69.47,49.64,83.27,104.53,102.87,39.0,74.18,65.29,90.83,87.1,38.99,35.604,-17.93206,Good
London,UK,53.68,85.51,77.95,51.73,83.85,115.55,18.44,72.94,57.0,43.25,49.62,92.8,39.76792,54.76292,Moderate
Toronto,Canada,48.61,43.39,51.05,47.64,78.52,31.99,50.0,50.78,23.01,84.73,72.27,83.37,35.06864,77.45922,Moderate
Karachi,Pakistan,68.44,82.72,69.47,92.45,84.34,118.43,68.06,34.01,93.82,85.44,51.39,43.29,59.45776,137.86055,Good
Vienna,Austria,52.87,47.1,45.32,35.53,107.12,37.75,24.1,22.1,48.76,79.08,55.44,42.1,53.30587,-33.46988,Moderate
Chicago,USA,39.78,44.82,64.77,94.87,80.76,103.29,50.87,32.77,31.42,36.82,47.04,38.17,29.92757,-16.07419,Poor
Barcelona,Spain,60.12,44.86,81.59,75.61,80.19,55.23,54.88,40.08,70.0,82.53,52.3,38.99,24.20139,-81.11068,Good
Karachi,Pakistan,51.51,83.87,59.12,84.71,119.11,41.9,40.16,70.5,41.32,78.85,56.7,78.63,25.5402,-70.92064,Moderate
New York,USA,66.65,74.91,76.57,52.68,96.89,69.59,57.07,53.17,63.93,66.77,76.83,60.53,32.78628,58.74968,Good
Istanbul,Turkey,48.93,66.38,83.75,35.86,67.02,87.96,39.64,16.2,64.01,48.6,63.25,80.89,28.11449,118.01708,Moderate
Sydney,Australia,60.44,56.53,90.99,79.27,92.2,64.29,45.28,11.44,53.43,43.38,91.33,78.51,43.20017,-20.42969,Good
Barcelona,Spain,59.91,87.63,52.91,85.05,61.98,34.91,15.44,18.19,82.71,33.53,32.72,69.3,54.88783,-77.34122,Moderate
Copenhagen,Denmark,47.33,58.55,61.96,79.43,46.74,83.95,56.5,42.84,39.87,60.68,62.7,74.61,50.52301,-49.44863,Moderate
Copenhagen,Denmark,48.2,84.0,48.38,43.57,81.7,111.22,54.68,84.66,53.65,65.97,67.97,31.19,31.76193,-4.4113,Moderate
Vienna,Austria,57.82,61.35,94.59,80.21,113.18,64.49,17.3,60.99,60.33,50.15,89.81,50.27,38.37477,-47.97766,Moderate
Berlin,Germany,57.97,57.62,90.99,81.14,113.27,49.47,37.1,74.15,69.77,58.28,33.2,71.46,42.28419,-63.10154,Moderate
Vancouver,Canada,47.52,62.76,69.7,74.51,57.48,69.83,73.74,47.31,78.8,50.45,67.28,30.61,53.16741,70.03589,Moderate
London,UK,58.31,53.08,86.31,80.97,75.13,34.35,40.24,38.93,49.61,69.87,85.49,32.14,54.20838,-122.9211,Moderate
Toronto,Canada,62.67,79.86,68.65,85.76,45.11,103.84,45.12,18.67,68.45,88.09,45.73,85.37,56.74986,17.89609,Good
London,UK,48.71,65.16,74.3,71.82,119.58,104.37,69.6,80.07,31.3,36.47,86.96,74.46,42.33283,85.3482,Moderate
Toronto,Canada,40.94,48.93,44.9,40.32,118.21,82.92,58.04,72.65,89.95,51.7,31.24,47.25,48.99389,-54.4495,Moderate
Barcelona,Spain,58.27,88.97,81.54,64.26,86.7,61.78,49.92,23.45,48.73,34.86,77.61,74.72,28.02481,34.87225,Moderate
Chicago,USA,56.35,58.03,47.02,39.66,101.42,101.98,62.87,50.98,74.71,68.75,90.65,81.51,44.3504,52.25853,Moderate
Zurich,Switzerland,54.61,67.61,85.43,59.45,92.93,79.92,66.86,48.99,21.53,76.02,72.72,49.94,32.95291,48.58154,Moderate
Vienna,Austria,51.52,89.39,83.01,59.43,81.35,104.33,42.41,60.01,35.39,90.23,58.54,32.34,39.54181,-6.84985,Moderate
Dubai,UAE,38.55,72.45,78.98,38.96,30.07,86.83,43.51,85.69,56.53,44.52,32.92,90.63,46.82582,-33.15683,Poor
Lahore,Pakistan,56.34,42.01,41.99,55.93,68.2,100.6,38.16,56.38,85.87,91.51,89.81,52.44,33.25149,96.51988,Moderate
Lahore,Pakistan,45.24,91.39,56.67,41.66,89.1,83.87,73.0,53.22,59.54,29.43,60.57,36.92,25.87866,75.98818,Moderate
Karachi,Pakistan,64.16,72.66,54.47,83.49,89.37,67.27,56.83,14.03,89.74,67.21,31.88,61.97,24.36842,-39.86738,Good
Berlin,Germany,49.98,55.09,59.81,91.86,60.45,116.22,19.99,15.03,56.28,29.0,74.84,79.95,24.79774,-97.69991,Moderate
Copenhagen,Denmark,41.98,43.36,44.82,39.34,114.46,78.7,66.78,24.99,56.78,87.56,61.32,44.41,24.30059,-105.971,Moderate
Chicago,USA,51.17,82.64,91.53,92.31,40.9,84.46,43.83,12.6,28.98,62.09,38.08,47.52,27.97278,-100.01687,Moderate
Barcelona,Spain,53.29,72.2,70.46,66.35,72.53,49.84,19.13,69.47,80.2,71.85,43.93,45.78,32.62159,29.46038,Moderate
Bangkok,Thailand,48.87,67.01,56.8,52.97,90.63,86.31,47.98,67.87,38.52,83.21,34.19,94.46,31.96397,-111.30952,Moderate
Copenhagen,Denmark,55.27,88.63,61.83,39.61,91.23,81.44,40.03,20.88,87.47,35.52,67.33,42.83,59.52468,-35.71438,Moderate
Vienna,Austria,57.88,82.32,64.6,65.04,86.62,46.64,67.66,76.89,88.31,27.7,70.43,67.41,35.01622,74.59792,Moderate
Copenhagen,Denmark,65.54,44.1,73.03,82.67,51.15,35.36,27.24,22.38,90.75,86.52,62.87,90.14,28.58715,-46.99774,Good
Berlin,Germany,48.05,53.7,68.36,77.43,39.84,84.39,64.59,34.09,59.02,47.05,83.11,39.55,43.64025,77.27664,Moderate
Seoul,South Korea,56.5,49.91,90.57,38.01,85.41,98.73,48.46,29.92,70.78,34.03,85.97,93.11,54.88647,72.54877,Moderate
Tokyo,Japan,63.54,79.64,67.33,39.37,81.93,77.11,18.28,39.78,78.39,57.79,70.02,91.59,48.41017,-59.85581,Good
Copenhagen,Denmark,43.59,37.01,94.57,59.17,42.04,50.41,73.31,30.37,29.83,66.88,30.83,87.5,34.65896,68.13788,Moderate
Vienna,Austria,53.47,69.19,86.83,52.72,91.99,89.99,45.76,49.12,65.07,27.17,75.19,43.95,44.21818,73.16081,Moderate
Berlin,Germany,43.65,80.75,51.47,48.94,68.24,37.21,32.45,42.59,22.57,44.24,57.17,71.21,49.73482,-19.67471,Moderate
Lahore,Pakistan,58.81,87.61,91.18,51.86,88.44,69.77,43.16,88.93,57.32,27.3,66.76,79.46,50.21176,-69.23857,Moderate
Tokyo,Japan,54.16,55.52,46.4,83.21,104.55,44.7,66.47,14.47,31.61,54.42,72.19,94.09,47.99538,13.13676,Moderate
London,UK,54.32,84.28,84.96,90.75,41.12,46.6,33.29,21.37,33.72,87.66,52.77,41.73,55.34918,119.17036,Moderate
Toronto,Canada,57.87,41.64,60.93,59.31,26.82,48.21,26.56,14.23,47.38,93.79,89.61,79.79,55.3238,44.49843,Moderate
Seoul,South Korea,57.28,85.79,88.29,89.37,99.01,64.8,22.74,60.07,52.43,69.59,38.71,52.02,44.84172,-79.17554,Moderate
Seoul,South Korea,56.55,42.65,87.74,54.29,82.92,34.6,32.87,14.36,66.74,36.31,73.65,41.42,39.47483,55.93059,Moderate
Vancouver,Canada,54.42,58.84,84.33,63.59,91.47,65.8,61.8,76.92,25.58,88.41,30.28,57.39,47.09653,-11.7912,Moderate
Singapore,Singapore,60.61,82.84,83.45,48.56,104.62,76.05,43.3,50.96,57.78,61.14,90.1,81.6,53.45563,31.75513,Good
Istanbul,Turkey,42.24,44.0,56.76,73.43,101.27,73.5,28.65,52.16,33.7,35.76,37.31,60.22,24.20348,69.52697,Moderate
London,UK,49.4,48.76,44.45,93.74,116.29,64.45,24.97,54.93,63.05,89.52,36.17,64.94,59.71189,11.46105,Moderate
Sydney,Australia,64.97,78.34,62.16,71.21,75.91,105.52,34.96,23.67,67.81,78.02,51.65,94.69,30.58418,90.70575,Good
Doha,Qatar,51.2,78.2,49.54,56.47,71.41,43.08,71.4,25.82,61.75,76.22,54.28,55.94,40.92896,66.37123,Moderate
Amsterdam,Netherlands,58.27,73.47,78.22,73.87,63.18,75.51,35.58,35.51,75.37,74.64,43.93,70.0,55.39307,37.99444,Moderate
Berlin,Germany,37.74,76.64,59.04,42.38,39.6,35.58,74.29,57.48,45.17,39.02,68.03,53.74,32.10145,-85.0399,Poor
Lahore,Pakistan,64.84,67.56,93.66,88.32,79.4,36.4,44.11,26.81,77.38,39.77,58.79,55.53,41.16463,96.52651,Good
London,UK,55.73,50.11,75.25,65.19,51.32,81.65,25.75,19.31,52.46,73.18,32.22,75.22,28.77296,123.01498,Moderate
Singapore,Singapore,48.62,55.74,85.24,61.96,112.52,80.94,68.47,87.61,56.31,40.38,50.78,90.96,38.22275,-88.70424,Moderate
Seoul,South Korea,50.63,45.9,47.29,70.15,80.4,109.02,42.62,11.76,68.61,55.71,82.68,65.25,30.37688,4.3839,Moderate
New York,USA,63.61,89.51,87.41,72.49,81.32,80.21,57.58,74.22,21.38,79.74,74.83,79.95,37.0906,-56.39448,Good
Amsterdam,Netherlands,47.04,70.0,90.75,39.31,58.72,116.38,74.02,73.04,69.05,79.88,77.12,35.8,37.44471,74.94868,Moderate
Singapore,Singapore,45.96,59.05,66.79,75.96,29.94,34.38,18.01,33.78,66.39,56.73,75.38,43.73,59.75415,66.23185,Moderate
London,UK,54.49,62.72,73.34,49.52,28.02,38.82,20.8,20.85,43.24,80.45,50.21,62.64,59.81327,-87.66544,Moderate
Istanbul,Turkey,50.82,91.84,82.06,77.84,65.22,33.97,58.23,21.65,26.43,83.7,36.48,31.3,28.13231,107.41223,Moderate
Bangkok,Thailand,42.84,44.2,49.62,84.35,33.03,46.67,31.91,65.79,26.82,70.83,47.71,46.44,50.13488,-77.04214,Moderate
Zurich,Switzerland,59.51,70.17,67.64,83.24,82.65,78.71,26.06,61.42,89.24,40.99,84.07,63.63,25.86284,86.27364,Moderate
Vancouver,Canada,57.12,65.35,61.93,68.15,108.69,88.1,17.36,72.62,71.7,44.18,93.73,30.97,25.08691,-3.9002,Moderate
Singapore,Singapore,52.08,71.69,48.05,66.21,108.88,34.1,16.31,85.0,29.53,47.04,62.1,47.2,27.79202,-38.00784,Moderate
Kuala Lumpur,Malaysia,26.95,36.09,60.21,43.57,87.61,115.14,61.47,65.35,46.75,33.18,30.63,63.41,58.75748,-83.0666,Poor
Paris,France,50.27,87.33,43.75,81.52,45.07,105.79,23.07,22.47,64.44,44.12,39.1,67.25,57.87109,-80.58222,Moderate
Chicago,USA,60.4,90.93,41.42,51.28,106.98,56.7,43.06,29.48,82.67,39.67,50.94,90.17,30.9814,50.401,Good
Chicago,USA,53.64,68.91,47.43,64.8,109.18,36.95,51.35,77.38,23.27,56.87,67.61,71.95,29.8202,20.86405,Moderate
Doha,Qatar,52.04,76.8,92.97,52.06,43.68,45.29,40.7,26.74,37.75,88.59,34.88,56.96,32.65926,-92.64736,Moderate
New York,USA,68.22,90.35,70.22,43.03,95.06,41.42,16.63,15.8,86.73,32.31,91.32,90.47,42.55969,-95.13507,Good
Lahore,Pakistan,54.29,77.43,93.12,72.77,52.22,41.1,62.01,66.26,20.69,75.42,53.73,81.02,44.50937,-105.8377,Moderate
London,UK,47.71,44.15,63.79,38.26,101.25,76.67,15.63,42.2,35.1,73.11,89.32,43.0,31.97736,72.09835,Moderate
Vienna,Austria,55.55,69.58,57.15,79.92,119.74,52.13,60.71,83.6,91.93,31.7,80.73,38.5,51.23842,63.64875,Moderate
Vienna,Austria,48.91,71.4,67.84,54.06,27.85,62.23,68.6,62.02,66.01,89.58,79.1,73.93,35.14391,-109.51579,Moderate
Doha,Qatar,60.79,60.45,64.17,35.01,110.25,119.06,40.97,17.23,39.63,64.79,69.44,66.39,57.19673,23.47157,Good
Singapore,Singapore,39.8,79.19,45.81,65.67,84.15,91.59,47.13,85.83,25.02,50.46,70.74,81.33,47.64202,-102.56082,Poor
Toronto,Canada,57.41,91.06,75.25,37.81,117.47,115.41,43.62,30.68,22.11,77.96,71.47,78.02,39.70864,114.49263,Moderate
Copenhagen,Denmark,52.71,90.53,51.88,51.57,69.18,42.83,38.35,36.98,38.36,43.02,70.87,70.64,52.43683,115.38612,Moderate
London,UK,73.72,62.05,74.08,77.42,105.5,64.39,68.25,42.18,86.11,73.55,65.99,94.11,53.44493,60.03174,Good
Paris,France,38.1,41.79,75.76,38.76,30.93,79.93,68.64,14.1,51.19,27.78,94.12,64.68,34.45734,120.44006,Poor
Barcelona,Spain,71.47,94.09,48.36,85.36,56.85,36.91,35.15,49.72,74.03,83.76,77.6,37.35,36.22972,90.03505,Good
Toronto,Canada,62.95,85.33,43.37,35.23,31.37,30.38,51.9,19.87,88.87,56.37,80.5,83.84,57.69439,94.56272,Good
Berlin,Germany,53.78,42.48,82.94,49.81,117.66,90.34,70.61,42.08,50.6,69.57,86.71,46.37,29.93068,25.97258,Moderate
Vienna,Austria,48.39,90.25,65.29,79.45,102.61,87.76,72.72,38.06,34.35,40.49,44.02,80.52,25.51742,-43.89431,Moderate
Istanbul,Turkey,57.01,87.19,43.2,53.98,105.99,66.97,45.54,71.83,58.78,72.4,35.45,92.21,40.34599,-67.28323,Moderate
Vancouver,Canada,60.34,66.13,94.72,41.11,114.11,74.07,42.17,74.25,88.11,79.06,61.39,75.29,52.84356,-38.29199,Good
Chicago,USA,59.57,70.48,43.18,56.61,33.08,67.39,31.72,22.27,80.33,58.12,63.42,68.74,51.78005,41.55129,Moderate
Karachi,Pakistan,45.47,58.94,78.23,51.22,61.63,32.16,72.53,39.32,24.94,68.24,83.9,59.93,57.1031,-79.24602,Moderate
Seoul,South Korea,52.7,38.29,94.1,85.56,31.75,60.18,23.57,39.87,71.94,56.94,58.85,53.69,43.19522,-56.46034,Moderate
